ubuntu-user@SYJ-ubuntu:/mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIS$  cd /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST ; env "PYTHONIO
ENCODING=UTF-8" "PYTHONUNBUFFERED=1" /usr/bin/python3 /home/ubuntu-user/.vscode/extensions/ms-python.python-2019.1.0/pythonFiles/ptvsd_launcher.py --default --client --host localhost --port 37883 "/mnt/07E6085F07E6085F/[工程 项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py" 
WARNING:tensorflow:From /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py:111: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2019-02-17 03:56:33.006555: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
===============START===============
Load?(y/n): n
=============SET TIMER=============
Time limit(s, unlimited: -1): 600
===================================
Save?(y/n): y
===================================
已终止
ubuntu-user@SYJ-ubuntu:/mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIS$  cd /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST ; env "PYTHONIO cd /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST ; env "PYTHON
IOENCODING=UTF-8" "PYTHONUNBUFFERED=1" /usr/bin/python3 /home/ubuntu-user/.vscode/extensions/ms-python.python-2019.1.0/pythonFiles/ptvsd_launcher.py --default --client --host localhost --port 33289 "/mnt/07E6085F07E6085F/[工程 项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py" 
WARNING:tensorflow:From /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py:111: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2019-02-17 04:07:57.243687: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
===============START===============
Load?(y/n): y
=============SET TIMER=============
Time limit(s, unlimited: -1): -1
===================================
Training step: 0 Accuracy: 92.60000000000001 learning rate: 0.0041456916
Training step: 100 Accuracy: 85.7 learning rate: 0.004141527
Training step: 200 Accuracy: 90.7 learning rate: 0.004137367
Training step: 300 Accuracy: 91.4 learning rate: 0.004133211
Training step: 400 Accuracy: 92.7 learning rate: 0.004129059
Training step: 500 Accuracy: 89.8 learning rate: 0.004124911
Training step: 600 Accuracy: 91.60000000000001 learning rate: 0.0041207676
Training step: 700 Accuracy: 90.2 learning rate: 0.004116628
Training step: 800 Accuracy: 93.60000000000001 learning rate: 0.004112493
Training step: 900 Accuracy: 90.5 learning rate: 0.004108362
Training step: 1000 Accuracy: 92.5 learning rate: 0.0041042347
Training step: 1100 Accuracy: 94.0 learning rate: 0.004100112
Training step: 1200 Accuracy: 91.3 learning rate: 0.0040959935
Training step: 1300 Accuracy: 92.5 learning rate: 0.004091879
Training step: 1400 Accuracy: 94.39999999999999 learning rate: 0.0040877685
Training step: 1500 Accuracy: 94.19999999999999 learning rate: 0.004083662
Training step: 1600 Accuracy: 94.8 learning rate: 0.00407956
Training step: 1700 Accuracy: 94.69999999999999 learning rate: 0.004075462
Training step: 1800 Accuracy: 88.0 learning rate: 0.004071368
Training step: 1900 Accuracy: 93.5 learning rate: 0.004067278
Training step: 2000 Accuracy: 91.60000000000001 learning rate: 0.0040631923
Training step: 2100 Accuracy: 92.60000000000001 learning rate: 0.004059111
Training step: 2200 Accuracy: 92.60000000000001 learning rate: 0.0040550334
Training step: 2300 Accuracy: 92.80000000000001 learning rate: 0.0040509603
Training step: 2400 Accuracy: 82.6 learning rate: 0.0040468904
Training step: 2500 Accuracy: 92.7 learning rate: 0.0040428257
Training step: 2600 Accuracy: 92.80000000000001 learning rate: 0.0040387646
Training step: 2700 Accuracy: 92.9 learning rate: 0.0040347073
Training step: 2800 Accuracy: 92.7 learning rate: 0.004030654
Training step: 2900 Accuracy: 90.2 learning rate: 0.0040266053
